1,44,22,25,6,63
2,67,94,4,33,33
3,48,7,25,87,40
4,18,64,89,33,63
5,29,62,7,89,21
6,72,74,40,12,67
7,57,59,87,29,97
8,42,24,92,91,16
9,56,7,97,14,61
10,82,18,66,1,25
11,32,68,16,77,63
12,33,87,22,18,23
13,55,73,8,83,69
14,54,78,93,93,64
15,55,14,43,60,32
16,58,31,10,42,36
17,11,58,98,53,80
18,88,97,95,37,72
19,16,57,93,51,91
20,79,12,8,13,100
21,97,91,87,90,29
22,91,50,6,74,8
23,52,98,90,98,2
24,23,46,93,33,59
25,77,10,69,38,73
26,87,74,13,3,91
27,24,94,16,15,68
28,41,47,27,64,84
29,50,60,48,11,13
30,53,58,65,15,76
31,25,97,41,92,45
32,54,16,6,10,100
33,41,37,2,36,31
34,24,29,53,21,84
35,51,48,56,89,62
36,66,92,97,88,18
37,25,41,7,60,15
38,89,74,5,17,74
39,25,26,84,69,71
40,35,54,55,63,91
41,78,59,11,62,85
42,79,97,56,47,15
43,90,98,11,56,45
44,99,26,28,94,41
45,47,41,34,91,59
46,16,4,63,89,56
47,38,48,49,56,20
48,44,73,34,58,94
49,68,31,35,79,44
50,5,98,36,29,98
