1,2,95,87,37,45
2,44,63,97,57,71
3,83,95,88,40,77
4,41,49,11,22,39
5,15,85,31,21,38
6,34,69,24,96,3
7,98,89,8,10,17
8,49,19,10,31,28
9,53,67,61,56,11
10,24,58,96,41,19
11,33,34,71,26,55
12,61,18,29,28,68
13,49,38,43,26,96
14,98,51,17,72,40
15,6,12,4,15,56
16,56,86,64,75,27
17,90,16,62,63,30
18,74,31,68,63,43
19,73,13,76,77,45
20,49,41,73,5,64
21,67,6,55,74,14
22,100,33,7,40,61
23,26,28,66,36,16
24,71,27,84,98,4
25,8,17,55,58,51
26,21,12,95,5,58
27,49,45,88,73,79
28,87,78,3,17,25
29,2,2,23,36,72
30,82,47,87,88,38
31,9,35,10,92,76
32,65,94,6,71,43
33,60,50,64,35,65
34,90,53,86,17,36
35,61,14,63,40,63
36,1,2,93,71,94
37,17,35,66,25,69
38,78,72,42,40,9
39,28,82,16,100,29
40,78,92,31,60,19
41,15,76,3,85,59
42,50,92,42,87,95
43,45,62,80,65,11
44,42,79,28,40,73
45,30,10,46,68,75
46,12,6,2,21,4
47,5,56,27,88,27
48,52,47,30,42,55
49,26,84,38,83,77
50,42,16,67,62,78
